,name,i,j,mol,adsorption_energy
0,Co,1,1,CO,-16.5774658203125
1,Co,1,2,CO,-16.59052734375
2,Co,2,1,CO,-16.586376953125
3,Co,2,2,CO,-16.5828369140625
4,Co,3,1,CO,-14.54774169921875
5,Co,3,2,CO,-16.54884033203125
0,Co,1,1,CO,-17.0579345703125
1,Co,1,2,CO,-17.04017333984375
2,Co,2,1,CO,-13.951611328125
3,Co,2,2,CO,-16.96552734375
4,Co,3,1,CO,-16.81385498046875
5,Co,3,2,CO,-16.7578857421875
0,Co,1,1,CO,-17.00733642578125
1,Co,1,2,CO,-17.03956298828125
2,Co,2,1,CO,-17.0161865234375
3,Co,2,2,CO,-13.814404296875
4,Co,3,1,CO,-16.85609130859375
5,Co,3,2,CO,-16.60316162109375
0,Co,1,1,C,-8.60946044921875
1,Co,1,2,C,-8.65035400390625
2,Co,2,1,C,-8.58175048828125
3,Co,2,2,C,-8.393212890625
4,Co,3,1,C,-8.5810791015625
5,Co,3,2,C,-8.40072021484375
0,Co,1,1,C,-8.9765869140625
1,Co,1,2,C,-8.95498046875
2,Co,2,1,C,-8.95498046875
3,Co,2,2,C,-8.06881103515625
4,Co,3,1,C,-9.19027099609375
5,Co,3,2,C,-8.9768310546875
0,Co,1,1,C,-8.69503173828125
1,Co,1,2,C,-8.65682373046875
2,Co,2,1,C,-8.69869384765625
3,Co,2,2,C,-7.9712158203125
4,Co,3,1,C,-8.7192626953125
5,Co,3,2,C,-8.6609130859375
0,Co,1,1,O,-7.58677978515625
1,Co,1,2,O,-7.600390625
2,Co,2,1,O,-7.65751953125
3,Co,2,2,O,-7.81578369140625
4,Co,3,1,O,-7.602099609375
5,Co,3,2,O,-7.8177978515625
0,Co,1,1,O,-8.157275390625
1,Co,1,2,O,-7.85789794921875
2,Co,2,1,O,-7.86888427734375
3,Co,2,2,O,-7.8639404296875
4,Co,3,1,O,-8.1774169921875
5,Co,3,2,O,-7.623583984375
0,Co,1,1,O,-7.793505859375
1,Co,1,2,O,-7.8610107421875
2,Co,2,1,O,-7.8700439453125
3,Co,2,2,O,-7.93370361328125
4,Co,3,1,O,-7.7662841796875
5,Co,3,2,O,-7.9547607421875
